City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Lobva,59.1854,60.5185,19.26,87,45,9.48,RU,1645158278
Thompson,55.7435,-97.8558,-20.04,76,20,0.0,CA,1645158279
Khatanga,71.9667,102.5,-31.56,98,30,3.09,RU,1645158255
Qaqortoq,60.7167,-46.0333,7.3,69,100,9.71,GL,1645158279
Tasiilaq,65.6145,-37.6368,23.16,92,100,18.28,GL,1645158280
Luanda,-8.8368,13.2343,77.0,83,75,3.44,AO,1645158148
Samaná,19.2056,-69.3369,73.24,85,10,7.99,DO,1645158280
Busselton,-33.65,115.3333,96.04,33,7,6.35,AU,1645158209
Kapaa,22.0752,-159.319,78.78,77,0,14.97,US,1645158281
Airai,-8.9266,125.4092,70.9,73,65,1.36,TL,1645158282
Dakoro,14.5106,6.765,69.06,11,23,13.02,NE,1645158282
Nikolskoye,59.7035,30.7861,33.69,92,100,15.08,RU,1645158283
Wagar,16.1525,36.2032,67.68,62,1,7.14,SD,1645158283
Arlit,18.7369,7.3853,67.41,17,8,8.61,NE,1645158284
Esperance,-33.8667,121.9,80.44,46,0,13.58,AU,1645158284
Qaanaaq,77.484,-69.3632,-7.53,69,100,7.31,GL,1645158285
Katsuura,35.1333,140.3,50.14,37,0,17.94,JP,1645158060
Dikson,73.5069,80.5464,-15.02,92,69,8.81,RU,1645158286
São Filipe,14.8961,-24.4956,73.35,67,100,6.24,CV,1645158287
Dawson Creek,55.7666,-120.2362,11.84,67,100,14.97,CA,1645158287
Te Anau,-45.4167,167.7167,67.5,53,100,11.63,NZ,1645158287
Chokurdakh,70.6333,147.9167,-28.61,100,15,1.45,RU,1645158255
Puerto Escondido,15.85,-97.0667,81.43,69,75,0.0,MX,1645158288
Constitución,-35.3333,-72.4167,57.2,73,0,12.75,CL,1645158289
Oranjemund,-28.55,16.4333,64.9,82,27,6.6,NA,1645158289
Namtsy,62.7161,129.6658,-21.89,89,67,2.57,RU,1645158290
Cayenne,4.9333,-52.3333,79.09,84,100,5.99,GF,1645158038
Bethel,41.3712,-73.414,56.71,91,100,18.41,US,1645158290
Rehoboth,-23.3167,17.0833,71.4,51,70,10.42,NA,1645158291
New Norfolk,-42.7826,147.0587,68.67,36,31,7.0,AU,1645158292
Lagoa,39.05,-27.9833,49.93,63,100,22.91,PT,1645158157
Teya,60.3778,92.6267,7.9,89,100,6.11,RU,1645158293
Puerto Ayora,-0.7393,-90.3518,75.09,89,99,6.33,EC,1645158293
East London,-33.0153,27.9116,63.54,100,75,2.3,ZA,1645158263
Ñuñoa,-14.48,-70.6411,38.28,87,100,6.06,PE,1645158294
Valdivia,-39.8142,-73.2459,44.69,86,0,2.24,CL,1645158295
Mount Gambier,-37.8333,140.7667,69.71,43,100,18.41,AU,1645158295
Tiksi,71.6872,128.8694,-25.67,98,77,3.49,RU,1645158235
Tessalit,20.1986,1.0114,66.2,19,100,5.03,ML,1645158031
Kavaratti,10.5669,72.642,80.67,66,0,10.49,IN,1645158296
Iqaluit,63.7506,-68.5145,-27.31,67,0,11.5,CA,1645158297
Quang Ngai,15.1167,108.8,83.19,73,17,6.31,VN,1645158298
Acajutla,13.5928,-89.8275,81.81,65,25,8.28,SV,1645158298
Youghal,51.95,-7.8506,46.09,96,89,31.7,IE,1645158298
Tempio Pausania,40.8974,9.1035,36.63,94,34,11.72,IT,1645158299
Nakasongola,1.3089,32.4564,65.95,86,68,3.44,UG,1645158300
Montrose,38.4166,-108.2673,17.94,65,0,1.95,US,1645157912
Port Alfred,-33.5906,26.891,66.74,73,31,9.04,ZA,1645158300
Erzin,36.9559,36.2,34.52,68,93,4.68,TR,1645158052
Tual,-5.6667,132.75,83.07,73,95,6.44,ID,1645158301
Vaini,-21.2,-175.2,81.99,73,45,10.11,TO,1645158301
Egvekinot,66.3167,-179.1667,-9.74,87,6,16.31,RU,1645158302
Beringovskiy,63.05,179.3167,-6.77,95,100,18.23,RU,1645158302
Yulara,-25.2406,130.9889,87.64,25,0,9.22,AU,1645158303
Portland,45.5234,-122.6762,48.81,84,100,6.91,US,1645158381
Isiro,2.7739,27.616,69.15,49,94,1.34,CD,1645158303
Huancabamba,-5.2386,-79.4506,59.27,98,98,0.56,PE,1645158304
Bubaque,11.2833,-15.8333,77.23,71,2,6.8,GW,1645158305
Avarua,-21.2078,-159.775,77.05,94,75,4.61,CK,1645158305
Kangaba,11.9333,-8.4167,72.05,18,2,4.92,ML,1645158305
Ribeira Grande,38.5167,-28.7,51.17,64,98,24.63,PT,1645158306
Puerto Baquerizo Moreno,-0.9,-89.6,76.1,86,93,9.46,EC,1645158307
Umm Kaddadah,13.6017,26.6876,62.22,15,5,9.86,SD,1645158307
Lorengau,-2.0226,147.2712,83.48,75,100,4.88,PG,1645158308
Severnyy,50.677,36.5532,35.64,100,75,6.71,RU,1645158068
Yenagoa,4.9247,6.2642,77.83,90,88,4.0,NG,1645158309
Zaykovo,57.5613,62.7568,14.4,87,34,7.7,RU,1645158074
Bato,13.3528,123.3677,86.92,57,86,1.9,PH,1645158309
Bathsheba,13.2167,-59.5167,75.81,83,40,14.97,BB,1645158310
George Town,5.4112,100.3354,89.89,68,20,9.22,MY,1645158310
Esna,25.2934,32.554,55.24,46,80,6.08,EG,1645158311
Tecpan,14.7623,-90.9947,54.72,81,0,2.86,GT,1645158311
Shache,38.4167,77.2406,32.88,41,100,6.33,CN,1645158258
Makakilo City,21.3469,-158.0858,77.32,64,75,10.36,US,1645158312
Upernavik,72.7868,-56.1549,-27.29,98,97,5.75,GL,1645158312
Yate,51.5407,-2.4184,54.14,94,100,4.0,GB,1645158313
Bogo,11.0517,124.0055,83.52,68,100,8.3,PH,1645158313
Okhotsk,59.3833,143.3,7.74,74,79,10.18,RU,1645158314
Barrow,71.2906,-156.7887,-14.78,76,100,0.0,US,1645158314
Sinnamary,5.3833,-52.95,77.18,85,100,10.94,GF,1645158147
Laas,46.6166,10.7002,44.06,59,21,5.79,IT,1645158315
Tezu,27.9167,96.1667,74.03,22,3,4.23,IN,1645158315
Santa Isabel Rio Negro,-0.4139,-65.0192,73.22,99,100,1.12,BR,1645158316
Virginia Beach,36.8529,-75.978,66.42,74,100,19.57,US,1645157898
Belgrade,44.804,20.4651,46.06,57,0,11.5,RS,1645158263
Borgo San Dalmazzo,44.333,7.4858,50.59,40,0,6.02,IT,1645158317
Bambous Virieux,-20.3428,57.7575,81.21,78,75,17.27,MU,1645158318
Hong Kong,22.2855,114.1577,65.03,85,100,23.0,HK,1645158072
Port Lincoln,-34.7333,135.8667,68.31,59,43,14.79,AU,1645158238
Perry,37.2506,-83.1999,62.78,91,100,20.13,US,1645158319
Ancud,-41.8697,-73.8203,49.53,81,0,3.58,CL,1645158320
Rock Sound,24.9,-76.2,75.27,86,1,18.37,BS,1645158046
Bongandanga,1.5,21.05,69.89,73,4,2.51,CD,1645158320
Neiafu,-18.65,-173.9833,82.4,72,22,7.49,TO,1645158321
St. George's,12.0564,-61.7485,75.9,80,12,13.22,GD,1645158322
Cap Malheureux,-19.9842,57.6142,81.46,73,100,10.0,MU,1645158323
Silver City,32.7701,-108.2803,33.67,55,0,10.36,US,1645158170
Yellowknife,62.456,-114.3525,-13.59,82,20,14.97,CA,1645158133
Carutapera,-1.195,-46.02,75.76,88,99,4.5,BR,1645158324
Chui,-33.6971,-53.4616,68.79,82,49,9.4,UY,1645158325
Port Hedland,-20.3167,118.5667,104.05,31,13,12.66,AU,1645158061
Hilo,19.7297,-155.09,73.13,93,40,3.44,US,1645158325
Pevek,69.7008,170.3133,-29.04,98,100,3.29,RU,1645158142
Alofi,-19.0595,-169.9187,84.09,70,14,10.36,NU,1645158326
Jatai,-17.8814,-51.7144,67.35,95,17,4.23,BR,1645158327
Waverly,42.7392,-84.6208,20.48,89,100,14.97,US,1645158327
Lata,40.1629,-8.3327,56.8,98,34,0.25,PT,1645158328
Saquarema,-22.92,-42.5103,72.52,95,99,5.88,BR,1645158328
Novy Urengoy,66.0833,76.6333,8.76,97,100,8.14,RU,1645158255
Ola,59.5833,151.2833,3.69,73,82,12.66,RU,1645158329
Kinston,35.2627,-77.5816,68.61,94,100,17.27,US,1645158325
Carnarvon,-24.8667,113.6333,93.27,49,100,9.22,AU,1645158330
Mt. Pleasant,32.7941,-79.8626,72.1,94,0,19.57,US,1645158058
Port-Gentil,-0.7193,8.7815,81.09,74,95,8.52,GA,1645158331
Karachi,24.9056,67.0822,69.62,83,0,3.44,PK,1645158331
Saint-Louis,16.3333,-15.0,73.04,15,100,9.04,SN,1645158332
Pisco,-13.7,-76.2167,69.85,78,0,5.75,PE,1645158301
Kruisfontein,-34.0033,24.7314,54.88,88,0,4.47,ZA,1645158332
Tutóia,-2.7619,-42.2744,78.28,80,80,8.57,BR,1645158333
La Primavera,5.4906,-70.4092,79.83,56,77,4.92,CO,1645158333
Sambava,-14.2667,50.1667,77.58,81,48,8.61,MG,1645158334
Ilulissat,69.2167,-51.1,5.02,78,100,2.3,GL,1645158334
Lakes Entrance,-37.8811,147.981,71.17,58,45,19.28,AU,1645158335
Oparino,59.8518,48.2783,31.77,93,100,15.97,RU,1645158335
Arraial do Cabo,-22.9661,-42.0278,74.44,91,78,10.4,BR,1645158336
Cabo San Lucas,22.8909,-109.9124,67.51,67,100,1.54,MX,1645158268
Opuwo,-18.0607,13.84,68.86,83,100,1.66,NA,1645158337
Morón,-34.6534,-58.6198,64.98,71,0,9.44,AR,1645158337
Vanavara,60.34,102.2797,1.31,90,99,5.73,RU,1645158337
Nadym,65.5333,72.5167,25.57,91,100,9.53,RU,1645158254
San Patricio,28.017,-97.5169,53.46,47,3,21.61,US,1645158339
Şırnak,37.5228,42.4594,33.87,69,100,3.49,TR,1645158339
Karratha,-20.7377,116.8463,99.39,31,44,2.44,AU,1645158339
College,64.8569,-147.8028,12.29,76,100,10.36,US,1645158340
Mar del Plata,-38.0023,-57.5575,64.09,75,40,11.99,AR,1645158340
Kabompo,-13.5927,24.2008,63.37,99,100,2.59,ZM,1645158341
Médéa,36.2642,2.7539,30.65,61,4,4.85,DZ,1645158341
San-Pédro,4.7485,-6.6363,76.62,91,82,5.91,CI,1645158342
Cherskiy,68.75,161.3,-31.14,98,55,1.86,RU,1645158343
Kamenka,51.3223,42.7678,32.76,87,98,21.94,RU,1645158343
Maţāy,28.419,30.7792,49.89,78,80,6.69,EG,1645158344
Port Shepstone,-30.7414,30.455,68.61,89,100,2.28,ZA,1645158344
Saint George,37.1041,-113.5841,48.63,29,0,4.61,US,1645158345
Thinadhoo,0.5333,72.9333,82.09,67,100,10.78,MV,1645158345
Vilyuysk,63.7553,121.6247,-10.07,90,88,4.92,RU,1645158346
Kirensk,57.7853,108.1119,3.02,90,100,6.26,RU,1645158346
Berlevåg,70.8578,29.0864,30.2,61,100,30.11,NO,1645158347
Leningradskiy,69.3833,178.4167,-13.59,98,100,9.33,RU,1645158347
Metro,-5.1131,105.3067,77.77,83,100,3.09,ID,1645158348
Mardin,37.3131,40.7436,40.26,61,75,8.05,TR,1645158348
Kapoeta,4.7717,33.5903,80.73,23,88,3.62,SS,1645158349
Roald,62.5833,6.1333,38.16,87,40,11.5,NO,1645158349
Kandrian,-6.2167,149.55,88.23,63,100,10.65,PG,1645158350
Fairbanks,64.8378,-147.7164,12.31,76,100,10.36,US,1645158350
Lixouri,38.2019,20.4314,53.67,79,14,12.5,GR,1645158351
Kholm,59.2667,32.85,32.13,97,100,14.27,RU,1645158351
Buşayrā,30.7376,35.6078,45.72,60,100,1.86,JO,1645158333
Ferrandina,40.5012,16.4547,46.08,60,66,5.1,IT,1645158352
Along,28.1667,94.7667,68.77,38,18,0.78,IN,1645158079
Walvis Bay,-22.9575,14.5053,70.09,88,17,4.61,NA,1645158353
Itarema,-2.9248,-39.9167,77.49,81,83,6.71,BR,1645158353
Tromsø,69.6496,18.957,26.62,59,75,11.5,NO,1645158354
Asău,46.4333,26.4,42.76,69,55,12.86,RO,1645158354
Verkhovyna,48.1557,24.7911,33.98,91,100,6.58,UA,1645158355
Iquique,-20.2208,-70.1431,69.84,76,87,2.68,CL,1645158212
Ayní,39.3941,68.5377,26.65,44,28,6.33,TJ,1645158355
Ilovka,50.7053,38.637,33.94,99,100,19.08,RU,1645158356
Kiryat Gat,31.61,34.7642,51.4,83,63,2.68,IL,1645158356
Naze,28.3667,129.4833,52.72,88,100,21.05,JP,1645158357
Banda Aceh,5.5577,95.3222,85.19,68,38,2.19,ID,1645158357
Hasaki,35.7333,140.8333,54.28,32,11,19.22,JP,1645158358
Basco,20.4487,121.9702,73.85,85,93,10.76,PH,1645158358
Port Hardy,50.6996,-127.4199,44.76,93,100,3.44,CA,1645158328
Salta,-24.7859,-65.4117,63.57,90,75,3.44,AR,1645158359
Flin Flon,54.7682,-101.865,-7.94,96,100,4.54,CA,1645158360
Belogorsk,50.9158,128.4611,5.65,90,98,2.1,RU,1645158360
Praia da Vitória,38.7333,-27.0667,48.76,81,75,23.82,PT,1645158361
Balashov,51.5502,43.1667,33.48,87,100,22.21,RU,1645158362
Muli,2.9167,73.5667,81.14,67,98,6.35,MV,1645158362
Zaozyornoye,45.1582,33.2787,46.94,95,100,17.96,UA,1645158363
Narsaq,60.9167,-46.05,7.02,70,100,9.4,GL,1645158363
Tiznit Province,29.5833,-9.5,57.16,32,100,4.32,MA,1645158364
Codrington,-38.2667,141.9667,65.5,52,75,16.35,AU,1645158364
Sainte-Anne-des-Monts,49.124,-66.4924,21.07,100,100,0.0,CA,1645158365
Poum,-20.2333,164.0167,82.33,77,40,14.29,NC,1645158365
Port Montt,-41.4698,-72.9447,50.83,87,0,2.3,CL,1645158366
Hambantota,6.1241,81.1185,86.34,66,0,10.36,LK,1645158366
Bereda,43.2686,-7.5406,54.0,96,54,8.43,ES,1645158367
Almaznyy,48.0448,40.045,37.54,80,97,17.78,RU,1645158367
Grindavik,63.8424,-22.4338,25.27,80,0,3.44,IS,1645158368
Shancheng,34.7953,116.0817,38.14,54,100,5.19,CN,1645158368
Kidal,18.4411,1.4078,72.48,13,65,6.55,ML,1645158369
Lompoc,34.6391,-120.4579,55.42,76,0,18.99,US,1645158370
Charlestown,-32.95,151.6667,86.83,60,1,8.01,AU,1645158225
Albanel,48.8832,-72.4487,10.54,67,100,11.5,CA,1645158152
Itoman,26.1247,127.6694,62.62,82,75,20.71,JP,1645158371
Lagunas,-5.2269,-75.6753,72.75,96,100,2.57,PE,1645158372
Namatanai,-3.6667,152.4333,84.83,66,96,8.28,PG,1645158372
Albert,50.0009,2.651,49.78,93,100,17.27,FR,1645158372
Olafsvik,64.8945,-23.7142,29.48,70,100,8.97,IS,1645158373
Matagami,49.7502,-77.6328,-9.29,77,75,9.22,CA,1645158373
Gornopravdinsk,60.05,69.9,19.67,93,100,8.01,RU,1645158374
Ust-Kuyga,70.0167,135.6,-28.05,99,98,7.18,RU,1645158374
Humaitá,-7.5061,-63.0208,72.18,98,86,2.17,BR,1645158375
Quime,-16.9833,-67.2167,49.28,94,100,1.03,BO,1645158375
Kirkland Lake,48.1446,-80.0377,2.23,71,100,9.51,CA,1645158112
Vostok,46.4856,135.8833,13.77,77,96,6.29,RU,1645158376
Meulaboh,4.1363,96.1285,85.21,68,25,9.73,ID,1645158377
Wabash,40.7978,-85.8205,25.45,94,100,16.31,US,1645158377
Bilibino,68.0546,166.4372,-11.13,97,15,4.03,RU,1645158331
Fort Nelson,58.8053,-122.7002,-2.61,71,100,6.91,CA,1645158309
Toila,59.4236,27.5025,29.91,88,100,25.81,EE,1645158378
Williston,48.147,-103.618,36.91,87,82,1.01,US,1645157881
Santa Cruz de Barahona,18.2085,-71.1008,74.37,80,30,4.74,DO,1645158379
Hofn,64.2539,-15.2082,30.18,70,98,16.91,IS,1645158379
Saint John,45.2727,-66.0677,46.18,99,100,28.77,CA,1645158077
Tilichiki,60.4667,166.1,-6.25,86,100,9.71,RU,1645158380
Salinópolis,-0.6136,-47.3561,77.97,86,89,7.76,BR,1645158380
Borogontsy,62.6683,131.1683,-12.32,90,85,3.18,RU,1645158381
Issia,6.4922,-6.5856,73.38,91,90,4.0,CI,1645158381
Buraidah,26.326,43.975,54.05,30,30,10.45,SA,1645158177
Hashtrūd,37.4779,47.0508,16.05,95,100,1.19,IR,1645158382
Dingle,10.9995,122.6711,85.44,62,80,14.81,PH,1645158383
Ābādān,30.3392,48.3043,55.35,62,0,2.3,IR,1645158383
Ban Phai,16.06,102.731,86.02,51,16,7.2,TH,1645158384
Aklavik,68.2191,-135.0107,-8.57,85,96,5.23,CA,1645158384
Fortuna,40.5982,-124.1573,47.66,93,75,0.0,US,1645158385
Benghazi,32.1167,20.0667,56.62,69,1,16.2,LY,1645158385
Guerrero Negro,27.9769,-114.0611,62.2,50,0,3.89,MX,1645158386
Saint-Joseph,-21.3667,55.6167,82.76,77,79,14.16,RE,1645158386
Padang,-0.9492,100.3543,87.85,60,69,1.9,ID,1645158386
Gorontalo,0.5412,123.0595,85.96,66,100,3.18,ID,1645158387
Berlin,52.5244,13.4105,41.9,73,0,15.01,DE,1645158387
Emerald,-23.5333,148.1667,98.35,32,7,8.05,AU,1645158386
São Borja,-28.6606,-56.0044,75.94,30,6,6.31,BR,1645158388
Ovalle,-30.5983,-71.2003,69.28,64,0,3.02,CL,1645158388
Flinders,-34.5833,150.8552,85.17,65,0,7.0,AU,1645158389
Qui Nhon,13.7667,109.2333,80.76,75,62,4.23,VN,1645158389
Imphal,24.8167,93.95,67.64,32,0,2.39,IN,1645158390
Vardø,70.3705,31.1107,28.6,62,100,32.28,NO,1645158390
Paidha,2.4167,30.9855,64.18,39,11,4.92,UG,1645158478
Javānrūd,34.7961,46.5172,33.44,77,99,2.68,IR,1645158479
Nome,64.5011,-165.4064,10.47,48,75,25.32,US,1645158479
Zhigansk,66.7697,123.3711,-17.77,95,99,1.19,RU,1645158354
Quatre Cocos,-20.2078,57.7625,81.09,80,100,21.07,MU,1645158480
Tres Arroyos,-38.3739,-60.2798,51.51,83,0,8.68,AR,1645158481
Conde,-7.2597,-34.9075,76.46,94,0,2.3,BR,1645158481
Pangnirtung,66.1451,-65.7125,-19.39,98,99,2.77,CA,1645158482
Khovu-Aksy,51.1333,93.6,-0.13,79,18,3.33,RU,1645158482
Muroto-misakicho,33.2833,134.15,48.24,44,100,3.04,JP,1645158483
Mehamn,71.0357,27.8492,30.15,74,75,19.57,NO,1645157944
Okahandja,-21.9833,16.9167,68.31,55,20,3.18,NA,1645158483
Udachny,66.4167,112.4,-18.51,94,52,5.21,RU,1645158484
Paamiut,61.994,-49.6678,3.31,84,100,6.2,GL,1645158156
Tongren,27.7172,109.1853,34.25,94,100,7.49,CN,1645158484
Panzhihua,26.5851,101.7128,64.85,26,0,0.72,CN,1645158485
Kroya,-7.6331,109.2461,81.19,70,98,1.43,ID,1645158485
Baghdad,33.3406,44.4009,53.51,50,0,5.75,IQ,1645158288
Dehlorān,32.6941,47.2679,57.7,41,100,4.41,IR,1645158486
Alta Floresta,-9.8756,-56.0861,71.67,98,100,3.02,BR,1645158486
Caravelas,-17.7125,-39.2481,76.44,90,100,5.32,BR,1645158487
Purpe,64.4803,76.6897,13.03,95,100,10.45,RU,1645158487
Rio Brilhante,-21.8019,-54.5464,75.47,61,100,4.23,BR,1645158488
Ballinrobe,53.6333,-9.2333,46.09,86,86,21.81,IE,1645158488
Bandarbeyla,9.4942,50.8122,73.13,69,3,15.08,SO,1645158488
Chipinge,-20.1883,32.6236,63.21,96,99,4.36,ZW,1645158489
Antofagasta,-23.65,-70.4,65.48,84,6,2.17,CL,1645158489
Jiaojiang,28.6803,121.4428,44.01,94,100,6.71,CN,1645158490
Nandurbar,21.3667,74.25,77.14,37,0,8.68,IN,1645158490
Ambulu,-8.345,113.6058,85.96,68,29,3.89,ID,1645158491
Rūdbār,30.15,62.6,50.05,33,0,1.99,AF,1645158491
Luxor,25.6989,32.6421,54.09,49,78,4.5,EG,1645158491
Warrnambool,-38.3833,142.4833,69.82,57,74,16.71,AU,1645158492
Biltine,14.5333,20.9167,67.42,15,17,7.34,TD,1645158048
Umluj,25.0213,37.2685,66.65,62,100,2.21,SA,1645158492
Zyryanka,65.75,150.85,-21.5,95,100,4.85,RU,1645158493
Torbay,47.6666,-52.7314,46.58,87,100,33.38,CA,1645158493
Bambanglipuro,-7.95,110.2833,85.39,69,83,3.24,ID,1645158494
Kudahuvadhoo,2.6708,72.8944,81.25,68,98,8.28,MV,1645158494
Hualmay,-11.0964,-77.6139,71.01,84,99,6.85,PE,1645158494
Marovoay,-16.1,46.6333,80.74,87,85,5.59,MG,1645158495
Evans,33.5337,-82.1307,72.61,65,40,17.27,US,1645158210
Ponta do Sol,32.6667,-17.1,63.05,63,43,3.24,PT,1645158495
Kantang,7.4054,99.5156,89.69,58,20,3.44,TH,1645158496
Klaksvík,62.2266,-6.589,32.92,71,91,19.91,FO,1645158419
Belmonte,-15.8631,-38.8828,77.5,84,99,7.09,BR,1645158497
Puerto Suárez,-18.95,-57.8,71.49,97,80,5.93,BO,1645158497
Zharkent,44.1628,80.0,23.38,48,0,3.29,KZ,1645158498
São João da Barra,-21.6403,-41.0511,75.22,91,100,10.07,BR,1645158498
Yangi Marg`ilon,40.4272,71.7189,38.62,69,83,4.61,UZ,1645158499
Okakarara,-20.5833,17.4333,68.16,52,11,4.88,NA,1645158499
Ukiah,39.1502,-123.2078,52.65,61,0,0.0,US,1645158500
Mugur-Aksy,50.35,90.5,-2.51,74,77,5.41,RU,1645158500
Wolfsburg,52.4333,10.8,43.9,77,58,11.21,DE,1645158500
Salisbury,51.0693,-1.7957,53.69,94,75,24.16,GB,1645158412
Neringa,55.3719,21.0647,39.29,82,92,32.35,LT,1645158501
Kushima,31.4583,131.2333,51.31,55,100,14.83,JP,1645158501
Araouane,18.9048,-3.5265,61.2,18,90,10.13,ML,1645158502
Departamento de Maldonado,-34.6667,-54.9167,65.23,81,0,5.14,UY,1645158502
Strezhevoy,60.7333,77.5889,24.78,97,95,6.22,RU,1645158503
Kenora,49.8167,-94.4337,-13.83,76,0,5.75,CA,1645158503
Bartica,6.4,-58.6167,73.72,98,34,1.77,GY,1645158503
Salym,60.0625,71.4789,19.31,95,100,7.09,RU,1645158504
Cabedelo,-6.9811,-34.8339,77.67,71,7,6.2,BR,1645158504
Moerai,-22.4333,-151.3333,80.55,72,3,11.36,PF,1645158505
Avera,33.194,-82.5271,72.28,77,79,20.29,US,1645158429
Boende,-0.2167,20.8667,70.41,86,52,3.33,CD,1645158506
Dosso,13.049,3.1937,76.19,15,13,9.15,NE,1645158506
Fuxin,42.0156,121.6589,25.74,58,100,7.61,CN,1645158507
Province of Mantua,45.1667,10.7833,44.28,97,0,8.16,IT,1645158507
Manono,-7.3,27.4167,67.33,97,99,1.88,CD,1645158507
Ryōtsu-minato,38.0833,138.4333,40.96,63,82,13.02,JP,1645158508
Lebedinyy,58.5167,125.5167,-6.93,92,100,5.08,RU,1645158508
Palu,-0.8917,119.8707,83.48,75,100,1.25,ID,1645158509
Moose Factory,51.2585,-80.6094,-20.2,76,0,3.44,CA,1645158509
Faanui,-16.4833,-151.75,80.67,72,20,8.9,PF,1645158508
Tumen,42.9661,129.8425,21.74,54,94,1.81,CN,1645158510
Kpandae,8.4689,-0.0113,83.62,54,100,7.18,GH,1645158510
Sabang,5.8933,95.3214,83.64,71,63,7.67,ID,1645158510
Bonthe,7.5264,-12.505,77.04,87,9,4.34,SL,1645158511
Abu Kamal,34.4506,40.9171,53.35,49,100,11.14,SY,1645158511
Turukhansk,65.8167,87.9833,6.1,93,100,16.11,RU,1645158059
Lodwar,3.1191,35.5973,82.74,43,26,3.29,KE,1645158512
Tyldesley,53.5139,-2.4675,45.28,92,100,8.01,GB,1645158512
Requena,39.4883,-1.1004,44.8,60,0,3.85,ES,1645158513
Nabire,-3.3667,135.4833,85.91,66,71,5.21,ID,1645158513
Shahrud,36.4182,54.9763,35.89,56,48,2.91,IR,1645158514
Gimli,50.6336,-96.9907,-8.88,76,57,4.61,CA,1645158514
Ulaangom,49.9811,92.0667,-13.18,95,59,2.46,MN,1645158242
Mercedes,-34.6515,-59.4307,59.79,67,0,9.26,AR,1645158515
Cockburn Town,21.4612,-71.1419,77.23,77,3,19.57,TC,1645158516
Sal Rei,16.1833,-22.9167,70.36,72,100,18.5,CV,1645158516
Pantai Remis,4.4557,100.6288,91.42,60,71,2.73,MY,1645158516
Nhulunbuy,-12.2333,136.7667,83.01,78,100,6.91,AU,1645158517
Caxito,-8.5785,13.6643,77.65,95,62,3.11,AO,1645158517
Comodoro Rivadavia,-45.8667,-67.5,62.46,34,0,5.75,AR,1645158056
Kirakira,-10.4544,161.9205,83.98,77,48,2.86,SB,1645158518
Maridi,4.9158,29.4742,69.69,21,61,2.75,SS,1645158518
Sembakung,3.8167,117.25,91.35,53,83,1.7,ID,1645158519
Marrakesh,31.6315,-8.0083,48.27,66,0,3.44,MA,1645158415
Dhone,15.4167,77.8833,76.39,52,24,14.12,IN,1645158519
Kununurra,-15.7667,128.7333,93.18,52,40,4.61,AU,1645158071
Vila,42.0304,-8.1588,44.33,95,94,5.23,PT,1645158520
Henties Bay,-22.116,14.2845,69.85,90,70,6.46,NA,1645158055
Kargasok,59.0556,80.8572,18.14,94,99,8.19,RU,1645158521
Wajir,1.7471,40.0573,75.16,78,0,0.0,KE,1645158521
Mossamedes,-15.1961,12.1522,76.26,79,98,2.51,AO,1645158522
Rawson,-43.3002,-65.1023,70.09,49,0,19.57,AR,1645158336
Gijón,43.5357,-5.6615,51.01,93,14,4.0,ES,1645158522
Beloha,-25.1667,45.05,74.35,79,2,9.82,MG,1645158523
Makkah al Mukarramah,21.4267,39.8261,68.04,74,0,0.87,SA,1645158523
Leh,34.1667,77.5833,0.09,76,50,2.15,IN,1645158524
Kapit,2.0167,112.9333,91.74,50,78,1.3,MY,1645158524
Rocha,-34.4833,-54.3333,61.86,83,52,5.41,UY,1645158525
Puksoozero,62.5903,40.6066,32.65,97,100,13.51,RU,1645158525
Cody,44.5263,-109.0565,34.02,40,75,10.36,US,1645158526
Grootfontein,-19.5667,18.1167,58.57,88,15,3.44,NA,1645158526
Morondava,-20.2833,44.2833,77.86,86,50,5.01,MG,1645158149
Vondrozo,-22.8167,47.2833,69.62,87,94,0.85,MG,1645158527
Sola,-13.8833,167.55,82.33,70,97,1.25,VU,1645158347
Saint-Pierre,-21.3393,55.4781,83.84,65,0,20.71,RE,1645158527
Provideniya,64.3833,-173.3,10.51,61,0,20.13,RU,1645158528
Ardabil,38.2498,48.2933,18.95,93,75,6.91,IR,1645158528
Rivadavia,-33.1905,-68.4608,73.87,32,0,12.37,AR,1645158529
Mingyue,43.1069,128.9217,21.6,53,100,2.68,CN,1645158529
‘Āhuimanu,21.4447,-157.8378,78.51,73,20,9.22,US,1645158530
Oistins,13.0667,-59.5333,75.29,83,40,14.97,BB,1645158530
Princeton,25.5384,-80.4089,76.01,93,20,5.75,US,1645158531
Zaysan,47.4667,84.8667,3.72,73,37,2.64,KZ,1645158531
Mount Isa,-20.7333,139.5,96.57,26,75,5.75,AU,1645158081
Jämsä,61.8642,25.19,25.14,89,100,15.79,FI,1645158532
Wuhu,31.3366,118.3755,40.91,93,100,11.72,CN,1645158532
Xichang,27.8964,102.2634,55.47,44,5,3.0,CN,1645158532
Bay Roberts,47.5999,-53.2648,47.34,84,99,15.99,CA,1645158533
Chapais,49.7834,-74.8492,-0.62,93,100,6.98,CA,1645158527
Altay,47.8667,88.1167,5.43,57,14,0.76,CN,1645158533
Puerto Ayacucho,5.6639,-67.6236,78.48,73,98,3.33,VE,1645158534
Palmer,42.1584,-72.3287,58.14,86,100,16.11,US,1645158346
